notation	description
CN 4600	Gesammelte Abhandlungen mehrerer Verfasser
CP	Allgemeine Psychologie
CP 1000	Einführungen und Lehrbücher, Kompendien, Serien
CP 2000	Wahrnehmung allgemein
CP 2500	Wahrnehmung speziell (z.B. Sehen, Hören)
CP 3000	Motivation und Gefühl
CP 3100	Motivation und Handlung
CP 3200	Gefühl
CP 3500 - CP 3900	Konflikt, Angst, Aggression, Frustration, Stress
CP 4000	Kognitive Prozesse (Denken, Urteil, Problemlösen, Begriffsbildung, Assoziation)
CP 4100	Denken
CP 4200	Urteilen
CP 4300	Problemlösen
CP 4400	Gedächtnis
CP 4500	Wissen
CP 4600	Bewusstsein
CP 5000	Lernen und Gedächtnis
CP 5100	Psychologische Lerntheorien
CP 5200	Arten des Lernens
CP 5300	Lernmotivation
CP 6000	Aufmerksamkeit, Vigilanz
CP 6500	Psycholinguistik
CP 7000	Psychomotorik, Handeln, Leistung (human performance)
CP 8000	Behavior science
CP 9000	Traum, Schlaf, Hypnose
CP 9400	Parapsychologie
CP 9500	Sonstiges
CQ	Entwicklungspsychologie
CQ 1000	Einführung, Grundfragen, Lehrbücher, Kompendien
CQ 2000	Entwicklung kognitiver und sensorischer Funktionen
CQ 3000	Körperliche und psychomotorische Entwicklung
CQ 4000	Entwicklung der Sprache
CQ 5000	Entwicklung spezieller Verhaltensweisen und Funktionen
CQ 5100	Soziale und moralische Entwicklung
CQ 5200	Entwicklung von Motivation und Gefühl
CQ 5500	Entwicklungspsychologie der Lebensalter
CQ 6000	Kindheit und Jugend
CQ 6200	Kleinkind
CQ 6400	Schulkind
CQ 6600	Jugend
CQ 7000 - CQ 7400	Altern
CQ 7600	Tod
CQ 9000	Längsschnittuntersuchungen
CQ 9007 - CQ 9249	Einzelne Vertreter
CQ 9500	Sonstiges
CR	Differentielle Psychologie (Persönlichkeitspsychologie)
CR 1000	Einführung, Grundfragen, Lehrbücher, Kompendien
CR 3000	Persönlichkeitstheorien
CR 4000	Typologien
CR 5000	Intelligenz; Begabung; Kreativität
CR 6000	Sexualität, geschlechtsspezifische Differenzen
CR 7000	Besondere Persönlichkeitsmerkmale und Eigenschaften
CR 9500	Sonstiges
CS	Diagnostik
CS 1000	Einführung, Grundfragen, Lehrbücher, Kompendien
CS 1500	Testtheorie
CS 2000	"""Objektive"" und Fragebogendiagnostik"
CS 2500	Projektive Methoden (incl. Theorie der projektiven Methoden)
CS 3000	Intelligenzdiagnostik
CS 3500	Diagnostik allgemeiner Leistungen und spezieller Fähigkeiten, Eignungsdiagnostik
CS 4000	Schulleistungs- und Entwicklungsdiagnostik
