notation	description
CS 4500	Ausdruckspsychologie, Graphologie, zeichnerischer Ausdruck
CS 5000	Anamnese, Exploration, Verhaltensbeobachtung
CS 5500	Psychophysiologische Diagnostik
CS 9500	Sonstiges
CT	Tests
CT 1000 - CT 1900	Tests zur Messung der Intelligenz
CT 2000 - CT 2400	Tests zur Messung von Fähigkeiten und Fertigkeiten
CT 3000	Tests zur Messung der Aufmerksamkeit und Konzentrationsleistung
CT 4000 - CT 4880	Tests zur Messung der Schulfähigkeit, Schulleistung und Entwicklungstests
CT 5000 - CT 5300	Einstellungs- und Interessentests und Persönlichkeitstests
CT 6000 - CT 6500	Projektive Verfahren
CT 6700	Berufsbezogene Testverfahren
CT 6800	Klinische Tests
CT 7000	Anamnese und Explorationsfragebogen
CT 8000	Sonstige psychodiagnostische Verfahren
CT 8500	Verschiedene Fragebogeninstrumente
CU	Klinische Psychologie
CU 1000	Einführung, Grundfragen, Lehrbücher, Kompendien
CU 2000 - CU 2690	Tiefenpsychologie und Psychoanalyse
CU 3000 - CU 5000	Psychische Störungen
CU 5500	Verhaltensmedizin, Psychosomatik
CU 6000	Klinische Diagnostik
CU 6050	Epidemiologie
CU 7000	Psychologische Beratung (außer Berufsberatung)
CU 7500	Prävention, Psychohygiene, Resilienz
CU 7550	Psychosoziale Versorgung, Gemeindepsychologie/-psychiatrie
CU 7555	Geschichte der psychosozialen Versorgung, Geschichte einzelner Institutionen
CU 8000 - CU 8590	Psychologische Behandlungsmethoden, Psychotherapie
CU 8600	Ausbildung in klinischer Psychologie, Weiterbildung
CU 8650	Supervision in der Psychotherapie
CU 8700	Angehörige psychisch Kranker, soziales Umfeld
CU 9500	Sonstiges
CV	Sozialpsychologie
CV 1000	Einführung, Grundfragen, Lehrbücher, Kompendien
CV 2000	Methoden der Sozialpsychologie
CV 2500	Soziale Kognition
CV 3000	Soziale Wahrnehmung, Selbstwahrnehmung,Personenwahrnehmung, Soziale Urteilsbildung, Attribution
CV 3500	Interpersonelle Kommunikation (verbale und nonverbale Kommunikation)
CV 3600	Medienpsychologie
CV 3700	Macht, sozialer Einfluss
CV 4000	Gruppenpsychologie
CV 4500	Affiliation, zwischenmenschliche Anziehung, enge Beziehungen, Attraktion
CV 4600	Prosoziale Motivation und prosoziales Verhalten (Altruismus, Friedenspsychologie)
CV 4700	Antisoziale Motivation und antisoziales Verhalten (Aggression, Gewalt)
CV 5000	Einstellungen und Einstellungsänderung
CV 5500	Vorurteile, Stereotype
CV 6000	Sozialisation
CV 6500	Persönlichkeit, problematische Persönlichkeit
CV 6800	Soziale Normen, soziale Rolle, sozialer Status
CV 7000	Theorie der sozialen Systeme
CV 7500	Kultur und Gesellschaft, Kulturvergleichende Psychologie, Massenpsychologie
CV 8000	Spezielle Probleme der Sozialpsychologie (Hochschule, Familie usw.)
CV 9000	Umweltpsychologie
CV 9500	Sonstiges
CW	Angewandte Psychologie
CW 1000	Einführungen in die angewandte Psychologie
CW 1500	Einführungen in die Arbeitspsychologie
CW 2000	Leistung und individuelle Leistungsbedingungen im Arbeitsprozess (Eignung, Ermüdung, Monotonie, Tagesrhythmik, Arbeitsmotivation, Einstellung zur Arbeit)
CW 3000	Arbeitsplatzanalyse und Arbeitsplatzgestaltung, Beanspruchung, Arbeitsumgebung, Ergonomie, Arbeitszeit
CW 4000	Industrial engineering, Arbeitsbewertung (Lohn), Zeit- und Bewegungsstudien, Arbeitstechnologie
CW 4500	Betriebs- und Organisationspsychologie einschließlich Sozialpsychologie des Betriebes, Führungsprobleme, Jugendliche im Betrieb
CW 4600	Führungspsychologie
CW 4700	Personalpolitik (Personalmanagement, Human Resource Management, Personalauswahl, etc.)
CW 4800	Sozialpsychologie des Betriebes
CW 5000	Ausbildung, Training, programmierte Unterweisung im Betrieb (Supervision, Coaching)
CW 5500	Berufspsychologie, Berufsberatung
CW 5800	Personalbeurteilung
CW 6500	Unfallpsychologie, insbes. Arbeitsunfälle
CW 6600 - CW 6660	Rehabilitation
CW 6700	Behindertengerechte Gestaltung, Barrierefreiheit
CW 6730	Behinderung allgemein (Behinderung und Gesellschaft, Mehrfachbehinderung, &#8230;)
CW 6760	Kranke allgemein (Umgang mit Kranken, Sozialmedizin ...)
CW 6800	Innere Krankheit
CW 6820	Körperbehinderung
CW 6840	Sehbehinderung, Blindheit
CW 6860	Hörschädigung, Sprachstörung
CW 6880	Schädel-Hirn-Trauma, Hirnschädigung
CW 6900	Heimbewohner (Kinderheim, Altenheim usw.), Internierung, Sozialhilfe, Verwahrlosung, Strafvollzug
CW 6920	Suizid (Ursachen, Gefährdete, Verhütung ...)
CW 6940	Suchtgefährdung
CW 6980 - CW 9500	Andere Gebiete der angewandten Psychologie
CX 1000 - CX 6000	Pädagogische Psychologie
CX 1000	Allgemeines
CX 3000	Pädagogische Lernpsychologie
CX 3500	Motivation (Lernen, Unterricht, Studium)
CX 4500	Schulpsychologie
CX 5000	Schülerverhalten
CX 5500	Lehrerverhalten
CX 6000	Frühkindliche Erziehung
CX 7000 - CX 9500	Religions- und Kunstpsychologie
CX 7000	Religionspsychologie
CX 7500	Kunstpsychologie; Literaturpsychologie; Musikpsychologie
CX 9500	Sonstiges
CZ	Grenzgebiete der Psychologie
CZ 1000	Physiologische Psychologie
CZ 1100	Physiologie und Anatomie
CZ 1200	Verhaltenswissenschaften
CZ 1300 - CZ 1390	Neuropsychologie
CZ 2000	Psychopharmakologie
CZ 3000	Psychopathologie, Psychiatrie
CZ 8000	Tierpsychologie und Verhaltensforschung
D	Pädagogik
DA 1000	Zeitschriften
DB	Bibliografien, Nachschlagewerke, Sammelwerke, Sammlungen
DB 1000 - DB 1009	Bibliografien
DB 1500 - DB 1509	Information und Dokumentation im Bildungsbereich
DB 2000 - DB 2009	Handbücher, Lexika
DB 3000	Tagungsberichte
DB 4000	Festschriften
DB 4100	Gesammelte Aufsätze mehrerer Verfasser
DB 4200	Gesammelte Aufsätze eines Verfassers
DB 4500	Schulprogramme
DB 4600	Jahresberichte einzelner Schulen
DB 5250 - DB 7953	Schriftenreihen
DD	Geschichte der Pädagogik und des Bildungswesens
DD 1000	Gesamtdarstellungen
DD 2000	Antike
DD 3000	Mittelalter
DD 4000	Neuzeit
DD 4100	Renaissance/Humanismus
DD 4200	Reformation
DD 4300	Gegenreformation
DD 4400	Barock/Aufklärung
DD 4500	Deutscher Idealismus
DD 4600	19. Jahrhundert bis 1. Weltkrieg
DD 4700	20. Jahrhundert bis 2. Weltkrieg
DD 4710	Jugendbewegung
DD 4750	Nationalsozialismus
DD 4800	Gegenwart (ab 2. Weltkrieg) und 20. Jahrhundert allgemein
DD 5000 - DD 9900	Quellenschriften und Biografien, Pädagogische Klassiker
DF	Systematische Pädagogik
DF 1000 - DF 1509	Systematische Pädagogik, Disziplinen und Fachrichtungen
DF 2000 - DF 2529	Wissenschaftstheorie, Forschungsmethoden, Allgemeine Grundlagen sozialwissenschaftlicher Forschung
DF 2600 - DF 2609	Pädagogische Evaluation, Forschungsdesign
DF 3000 - DF 3009	Philosophie und Theorie der Pädagogik und der Erziehungsstile, Reformpädagogik
DF 4000 - DF 4009	Erziehungsziel, Bildungsideal
DF 4500 - DF 4509	Pädagogische Anthropologie
DF 6000 - DF 6009	Erziehungsinstitution, Bildungs- und Sozialisationsinstanzen
DF 7000 - DF 7009	Erziehungspraxis
DF 8000 - DF 8009	Erzieher
DF 9000 - DF 9009	Sozialisation, Soziales Lernen
DG	Spezialfragen der Erziehung
DG 1000	Autorität und Freiheit; autoritäre und antiautoritäre Erziehung
DG 2000	Einzelne Erziehungsmittel (Lohn und Strafe u.ä.)
DG 3000	Heimerziehung (und Alternativen)
DG 4000	Koedukation
DG 5000	Sexualerziehung
DG 7000	Familienerziehung
DG 7100	Erziehungsberatung
DG 7500	Suchtgefahr, Drogenerziehung
DG 8000	Jugendkriminalität, Fürsorgeerziehung, Resozialisierung
DG 8500	Sozialpädagogik (Sozialarbeit, Sozialhilfe), Sozialerziehung (Gruppenpädagogik, Jugendarbeit)
DG 9000	Musische Erziehung
DG 9400 - DG 9460	Spiel, Spieltheorie, Erziehung durch Spiel, Spielplätze u.ä.
DG 9500	Verkehrserziehung
DG 9600	Friedenserziehung
DG 9700	Umwelterziehung; Bildung für nachhaltige Entwicklung
DG 9900	Selbsterziehung
DH 1000 - DH 1009	Geschlechtsspezifische Aspekte der Bildung
DH 1000	Allgemeines und Deutschland
DH 1001	Deutschland (DDR) (1949-1990)
DH 1002	USA und Kanada
DH 1003	ehem. Sowjetunion, GUS, Russland
DH 1004	Großbritannien
DH 1005	Frankreich
DH 1006	Schweiz
DH 1007	Österreich
DH 1008	Skandinavien
DH 1009	Sonstige
DI	Bildungspolitik, Kulturpolitik
DI 1000 - DI 1009	Bildungs- und Kulturpolitik, Allgemeines
DI 1050 - DI 1600	Bildungs- und Kulturpolitik in den Bundesländern
DI 1700 - DI 1800	Bildungs- und Kulturpolitik in Italien
DI 2000 - DI 2009	Bildungsökonomie
DI 3000 - DI 3009	Bildungsplanung
DI 4000 - DI 4009	Zukunftserwartung der Pädagogik
DK	Schulpädagogik
DK 1000 - DK 1009	Allgemeines, Einführungen
DK 1010 - DK 1019	Schultheorie, Schulkritik
DK 1020 - DK 1029	Schulreform, Schulversuch
DK 1040 - DK 1049	Schulorganisation, Schulverwaltung
DK 1050 - DK 1065	Schulsystem in den Bundesländern
DK 1070 - DK 1080	Schulwesen in Italien
DK 1100 - DK 1109	Geschichte der Schule
DK 2000 - DK 2109	Vorschulerziehung
DK 3000 - DK 3109	Volksschule
DK 4000 - DK 4109	Real- und Mittelschule
DK 5000 - DK 5109	Höhere Schule
DK 6000 - DK 6109	Sonderschule
DK 7000 - DK 7009	Gesamtschule, Bildungszentrum, Gemeinschaftsschule (i. S. Gesamtschule, Einheitsschule)
DK 8000 - DK 8039	Stufenschule (Fragen des Übergangs und der Durchlässigkeit)
DL	Berufsbildung, berufsbildende Schule
DL 1000 - DL 1009	Geschichte
DL 2000 - DL 2009	Allgemeines zur Berufsbildung in Betrieb und Schule; Theorie der Berufsbildung
DL 2100 - DL 2850	Berufsbildung in den Bundesländern
DL 2900 - DL 2950	Berufsbildung in Italien
DL 3000 - DL 3009	Berufswahl, Berufsberatung, Darstellungen einzelner Berufsbilder
DL 4000 - DL 4349	Berufs- und Organisationspädagogik
DL 5000 - DL 8009	Berufsbildende Schule, Fachoberschule
DM	Universität, Hochschule, Forschung und Wissenschaft
DM 1000 - DM 1009	Geschichte allgemein
DM 1100 - DM 1109	Geschichte der Einzelanstalten
DM 2000 - DM 2009	Theorie und Reform
DM 3000 - DM 3009	Hochschuldidaktik, Methoden wissenschaftlichen Arbeitens
DM 4000 - DM 4409	Interdisziplinäre Anleitungen für Studierende
DN	Lehrer und Lehrerbildung
DN 1000 - DN 1009	Allgemeines
DN 2000 - DN 2009	Lehrerstand
DN 2100 - DN 2850	Lehrer und Lehrerbildung in den Bundesländern
DN 2900 - DN 2950	Italien
DN 3000 - DN 6109	Einzelne Schularten
DN 7000 - DN 7009	Lehrerbildung
DN 7500 - DN 7509	Lehrerfortbildung
DN 8000 - DN 8009	Pädagogischer Assistent
DO	Spezialfragen des gesamten Schulsystems
DO 1000 - DO 1009	Allgemeines
DO 1050 - DO 1059	Schul- und Bildungsberatung
DO 1100 - DO 1109	Tagesheimschule, Ganztagsschule, Schullandheim, Hort
DO 1200 - DO 1209	Prüfung, Zensur, Versetzung, Zeugnis
DO 1240 - DO 1249	Schuldisziplin, Unterrichtsdisziplin
DO 1250 - DO 1259	Schulleistung und Leistungsschule; Leistungstest
DO 1260 - DO 1269	Schulstress
DO 1270 - DO 1279	Schulleben
DO 1350 - DO 1359	Hausaufgabe
DO 1400 - DO 1409	Schulferien; Schuljahresbeginn, Schuljahresende
DO 1500 - DO 1509	Schülermitverwaltung, Demokratie in der Schule, Elternbeirat
DO 1550 - DO 1559	Eltern und Schule
DO 2000 - DO 2009	Landschule
DO 3000 - DO 3009	Bekenntnisschule und Gemeinschaftsschule (konfessionsübergreifend)
DO 4000 - DO 4009	Freie Schule (Privatschule); Internat
DO 5000 - DO 5009	Zweiter Bildungsweg und Fernunterricht
DO 6000 - DO 6009	Schulbau , Schulausstattung
DO 7000 - DO 7009	Schulhygiene , Gesundheitserziehung
DO 8000 - DO 8009	Schüler
DO 8050 - DO 8059	Schuluniform, Schulkleidung
DO 9000 - DO 9009	Ausländerpädagogik und interkulturelle Erziehung
DO 9500 - DO 9509	Auslandsschulen, Auslandsschulsystem
DO 9600 - DO 9609	Schüleraustausch / Internationaler Schüleraustausch / Internationale Schulaustauschprogramme / Internationale Schulpartnerschaften
DP	Didaktik und Methodik des Unterrichts
DP 1000 - DP 1009	Allgemeine einführende Werke
DP 1020 - DP 1129	Theorien der Didaktik
DP 1200 - DP 1469	Spezielle Fragen der Didaktik
DP 1600 - DP 2269	Spezielle Fragen der Methodik
DP 2500 - DP 2689	Medien im Unterricht
DP 3000 - DP 3509	Didaktik einzelner Schulstufen
DP 4000 - DP 6730	Didaktik einzelner Sachgebiete und Themen
DQ	Lehrpläne
DQ 1000 - DQ 4820	Deutsche Lehrpläne
DQ 4900	Lehrpläne Italien
DQ 5000 - DQ 5009	Ausländische Lehrpläne
DR	Erziehungsrecht
DR 1000 - DR 1009	Allgemeines
DR 3000 - DR 3009	Konkordate,  Kirchenverträge
DR 4000 - DR 4009	Elternrecht
DR 5000 - DR 5009	Kindesrecht
DR 6000	Deutsche Gesetzgebung
DR 6050	Österreichische Gesetzgebung
DR 6100 - DR 6109	Jugendrecht
DR 6200 - DR 7950	Schulrecht
DS	Sozialpädagogik, Sozialarbeit
DS 1000	Handbücher, Lexika, Bibliografien
DS 1100 - DS 1109	Allgemeine einführende Werke
DS 2000 - DS 2200	Ausbildung und Beruf
DS 3000 - DS 3140	Geschichte
DS 4000 - DS 4200	Theorie
DS 5000 - DS 5600	Methoden und Arbeitsformen
DS 6000 - DS 6800	Sozialpolitische und sozialadministrative Rahmenbedingungen
DS 7000 - DS 7800	Berufsfelder
DT	Heilpädagogik, Sonderpädagogik
DT 1000 - DT 1009	Allgemeine einführende Werke, Handbücher, Lexika
DT 1010 - DT 1019	Theorie
DT 1020 - DT 1029	Methode
DT 1030 - DT 1039	Ethik und Behinderung
DT 1100 - DT 1109	Geschichte, Allgemeines
DT 1110 - DT 1119	Disability Studies
DT 1200 - DT 1209	Sonderpädagogische Diagnostik, Förderdiagnostik
DT 1250 - DT 1259	Frühdiagnostik, Frühförderung
DT 1300 - DT 1309	Sonderpädagogische Therapie
DT 1310 - DT 1319	Gesprächstherapie
DT 1320 - DT 1329	Spieltherapie
DT 1330 - DT 1339	Verhaltenstherapie
DT 1340 - DT 1349	Musiktherapie
DT 1350 - DT 1359	Beratung, Eltern, Familienerziehung
DT 1360 - DT 1369	Unterstützte Kommunikation
DT 1370 - DT 1379	Sexualität und Behinderung
DT 1400 - DT 1489	Institutionen und Tätigkeitsfelder der Behindertenpädagogik
DT 1490 - DT 1499	Sonderpädagogische Didaktik (allgemein)
DT 1500 - DT 1509	Soziale Integration, Soziologie der Behinderung
DT 1510 - DT 1519	Barrierefreiheit
DT 1550 - DT 1559	Vergleichende Sonderpädagogik
DT 1600 - DT 1609	Psychiatrie, Psychopathologie, Medizin
DT 1800 - DT 7309	Förderschwerpunkte
DT 8000 - DT 8009	Unterrichtsmaterialien, Lernprogramme
DT 9000 - DT 9009	Sonstiges
DU	Pädagogische Soziologie
DU 1000 - DU 1009	Allgemeines
DU 2000 - DU 2009	Soziologie der Erziehung und des Bildungswesens
DU 2500 - DU 2509	Soziologie der Schule und der Schulklasse, Schule und Gesellschaft
DU 3000 - DU 3009	Jugendsoziologie
DU 4000 - DU 4009	Familiensoziologie
DU 5000 - DU 5009	Sprachsoziologie, Soziolinguistik
DU 6000 - DU 6009	Bildungschancen und kompensatorische Erziehung
DV 1000 - DV 3000	Vergleichende Erziehungswissenschaft
DV 1000	Allgemeines
DV 2000 - DV 2040	Länder A
DV 2041 - DV 2090	Länder B
DV 2100 - DV 2110	Länder C
DV 2115 - DV 2225	Länder D
DV 2230 - DV 2245	Länder E
DV 2250 - DV 2260	Länder F
DV 2265 - DV 2305	Länder G
DV 2310 - DV 2315	Länder H
DV 2320 - DV 2355	Länder I
DV 2360 - DV 2380	Länder J
DV 2385 - DV 2440	Länder K
DV 2450 - DV 2490	Länder L
DV 2495 - DV 2555	Länder M
DV 2558 - DV 2595	Länder N
DV 2600 - DV 2613	Länder O
DV 2615 - DV 2645	Länder P
DV 2655 - DV 2665	Länder R
DV 2670 - DV 2785	Länder S
DV 2790 - DV 2830	Länder T
DV 2835 - DV 2850	Länder U
DV 2900 - DV 2905	Länder V
DV 2910 - DV 2950	Länder Z
DV 3000	Überregionale Darstellungen
DW	Erwachsenenbildung und Jugendbildung
DW 1000 - DW 1009	Erwachsenenbildung , Allgemeines und im Zusammenhang mit Jugendbildung
DW 1010 - DW 1025	Erwachsenenbildung in den Bundesländern
DW 1050 - DW 1070	Erwachsenenbildung in Italien
DW 1100 - DW 1109	Geschichte, Allgemeines
DW 1150 - DW 1159	Einzelne Persönlichkeiten
DW 1200 - DW 1209	Institution (Volkshochschule, Akademie)
DW 1250 - DW 1259	Zukunftserwartung
DW 1300 - DW 1309	Didaktik; Lernziel, Curriculum
DW 1400 - DW 1409	Unterrichtsmethodik
DW 1500 - DW 1509	Soziologische, bildungspolitische und rechtliche Fragen u. dgl.
DW 1600 - DW 1609	Erwachsenenbildner (Ausbildung, Berufsbild, Standesfragen)
DW 1700 - DW 1709	Außerschulische Jugendbildung
DW 1750 - DW 1759	Elternbildung
DW 1800 - DW 1809	Altenbildung
DW 2000 - DW 2009	Freizeitpädagogik
DW 4000 - DW 4409	Medienpädagogik
DX	Jugendliteratur
DX 1000 - DX 1001	Allgemeines
DX 1011	Bibliografien, Kataloge
DX 1041	Einführungen in die  Kinder- und Jugendliteratur und Überblicksdarstellungen
DX 1042	Theorie der Kinder- und Jugendliteratur und Methoden ihrer Erforschung
DX 1043	Geschichte und Klassiker der Kinder- und Jugendliteratur
DX 1061	Didaktik und Rezeption der Kinder- und Jugendliteratur
DX 2000 - DX 2001	Trivialliteratur
DX 4000 - DX 4001	Anthologien, Lesebücher u.a.
DX 4050 - DX 4081	Bilderbücher
DX 4090 - DX 4091	Comics
DX 4100 - DX 4101	Kinderverse, -lieder, -gedichte
DX 4150 - DX 4151	Märchen (Volks- und Kunstmärchen)
DX 4200 - DX 4201	Sagen, Legenden, Fabeln, Schwänke
DX 4250 - DX 4311	Erzählungen für Kinder
DX 4350 - DX 4351	Mädchenliteratur
DX 4400 - DX 4401	Jungenliteratur
DX 4450 - DX 4651	Erzählungen für Jugendliche
DX 4680 - DX 4681	Geschichten um Freundschaft und Liebe
DX 4700 - DX 4779	Sachbücher
DX 4800 - DX 4801	Lebensbilder, Biografien
DX 4850 - DX 4859	Verlegerserien, Einzelschriften
DX 4900 - DX 4901	Spiel- und Beschäftigungsbücher
DX 4950 - DX 4951	Theaterstücke
DY	Schulbücher und Lernprogramme
DY 1000 - DY 1009	Lernbücher für Vorschulkinder
DY 1050 - DY 1059	Vorschulprogramme
DY 1100 - DY 1129	Schulbücher und Lernprogramme für den Erstunterricht
DY 1200 - DY 1209	Sachunterricht (an der Grundschule); Heimatkunde
DY 1300 - DY 1309	Sexualkunde
DY 1400 - DY 1409	Arbeitslehre
DY 1500 - DY 1509	Wirtschaftslehre
DY 1600 - DY 1609	Werkunterricht
DY 1700 - DY 1709	Hauswirtschaftsunterricht
DY 2000 - DY 2009	Fächerübergreifende Bücher und Lernprogramme
DZ 1000 - DZ 1009	Erziehungsroman, Entwicklungsroman, Schulgeschichten  u. Ä.
DZ 1000	Allgemeines und Deutschland
DZ 1001	Deutschland (DDR) (1949-1990)
DZ 1002	USA und Kanada
DZ 1003	ehem. Sowjetunion, GUS, Russland
DZ 1004	Großbritannien
DZ 1005	Frankreich
DZ 1006	Schweiz
DZ 1007	Österreich
DZ 1008	Skandinavien
DZ 1009	Sonstige
E	Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen
EA - ED	Allgemeine und vergleichende Literaturwissenschaft.
EA 1000	Zeitschriften
EC 1000 - EC 1110	Allgemeines
EC 1150 - EC 1300	Hilfswissenschaften
EC 1400 - EC 1462	Studium und Lehre
EC 1465 - EC 1580	Geschichte der Literaturwissenschaft/Literaturtheorie
EC 1600 - EC 1780	Methoden der Literaturwissenschaft
EC 1820 - EC 2280	Literaturtheorie, Literaturphilosophie, Literaturästhetik
EC 2400 - EC 2500	Beziehungen der Literatur zu anderen Gebieten
EC 2600 - EC 2700	Wirkung einzelner Literaturen auf die Weltliteratur
EC 3000 - EC 4760	Poetik
EC 5000 - EC 8804	Literaturgeschichte
ED	Textsammlungen zur Literaturwissenschaft
EE 1500 - EE 1630	Welthilfssprachen
EE 1500	Allgemeines
EE 1520	Gesamtdarstellungen
EE 1530 - EE 1547	Esperanto
EE 1550	Ido (= reformiertes Esperanto)
EE 1570	Volapük (Schleyer)
EE 1590	Idiom neutral (R. Rosenberger)
EE 1610	Interlingua (G. Peano)
EE 1630	Sonstige Welthilfssprachen (alphabetisch)
EE 1650 - EE 1680	Pidgin-Sprachen und Kreolische Sprachen (Mischsprachen)
EE 1650	Allgemeines
EE 1660	Gesamtdarstellungen, Vergleichende Grammatik
EE 1680	Sonstige Mischsprachen
EE 1760 - EE 9346	Sprachen Amerikas und Australiens
EE 1760 - EE 1795	Papuasprachen
EE 1800 - EE 1840	Australische Sprachen
EE 1850	Tasmanische Sprachen
EE 1900 - EE 1985	Paläosibirische (hyperboräische) Sprachen in Amerika und dem arktischen Asien
EE 2000 - EE 9346	Amerikanische Sprachen. Indianersprachen
EF 11000 - EF 99999	Sprachen und Literaturen Südostasiens
EF 11000 - EF 15550	Südostasiatische Linguistik
EF 15000 - EF 15550	Südostasiatische Textgeschichte und Literatur
EF 16000 - EF 19000	Südostasiatische Textgeschichte und Literatur / Aufsatzsammlungen und Monografien
EF 20000 - EF 29900	Tai-Kadai Sprachen
EF 30000 - EF 39560	Austroasiatische Sprachen
EF 40000 - EF 49500	Austronesische Sprachen
EF 50000 - EF 55500	Hmong-Mien Sprachen
EG	Fernöstliche Sprachen und Literaturen
EG 1000	Zeitschriften Ostasien (Mongolistik - Sinologie - Japanologie)
EG 6500 - EG 6560	Übergreifendes zu den Sprachen und Literaturen Asiens
EG 6600 - EG 14999	Sinologie und Sinotibetische Sprachen
EH	Altaische Sprachen
EH 1000	Zeitschriften Altaistik, Turkologie
EH 2000	Allgemeines, Aufsatzsammlungen
EH 2005	Festschriften
EH 2010	Kongresse
EH 2015	Handbücher, Einführungen
EH 2017	Bibliografien
EH 2020	Sprachcharakteristik. Sprachverwandtschaft
EH 2030	Vergleichende Grammatik
EH 2050	Vergleichende Wörterbücher
EH 2070	Besonderes (Sonstiges)
EH 2100 - EH 7000	Turksprachen (Türksprachen) (Turkologie)
EI 1000 - EI 4350	Mongolistik
EI 1000	Allgemeines
EI 1100 - EI 3800	Mongolische Sprachen
EI 3900 - EI 4350	Tungusische Sprachen
EI 4500 - EI 7996	Japanologie
EI 4500 - EI 4547	Allgemeines
EI 4550 - EI 4596	Nachschlagewerke und Wörterbücher
EI 4600 - EI 4790	Japanische Sprache
